Year,Amount,Ministry name,Revenue type,Revenue detail
2020-21,"$49,032,716","Agriculture, Food and Rural Affairs",Government Of Canada,Canadian Agricultural Partnership
2020-21,"$32,000,000","Agriculture, Food and Rural Affairs",Sales And Rentals,No Value
2020-21,"$11,455,767","Agriculture, Food and Rural Affairs",Recovery Of Prior Years’ Expenditures,No Value
2020-21,"$3,988,142","Agriculture, Food and Rural Affairs",Miscellaneous,No Value
2020-21,"$587,521","Agriculture, Food and Rural Affairs",Government Of Canada,Wildlife Damage Compensation
2020-21,"$467,479","Agriculture, Food and Rural Affairs","Fees, Licences and Permits",No Value
2020-21,"$453,300","Agriculture, Food and Rural Affairs",Government Of Canada,AgriStability Administration
2020-21,"$49,233","Agriculture, Food and Rural Affairs",Reimbursement of Expenditures,No Value
2020-21,"$216,117,697",Attorney General,Miscellaneous,Non-specified Victims Fine Surcharges
2020-21,"$86,188,478",Attorney General,Government Of Canada,Legal Aid - Criminal
2020-21,"$71,294,855",Attorney General,"Fees, Licences and Permits",Court fees
2020-21,"$51,192,900",Attorney General,Miscellaneous,Victim Justice Fund
2020-21,"$26,492,520",Attorney General,Reimbursement of Expenditures,Office of the Public Guardian and Trustee
2020-21,"$25,147,961",Attorney General,Fines And Penalties,Provincial fines/cost/administration fees
2020-21,"$14,365,229",Attorney General,Reimbursement of Expenditures,Automobile Accident Benefits Service
2020-21,"$8,221,689",Attorney General,"Fees, Licences and Permits",Landlord and Tenant Board fees
2020-21,"$7,925,327",Attorney General,Reimbursement of Expenditures,The Provincial Offences Act - Municipal Reimbursement - Devolved Sites
2020-21,"$6,389,541",Attorney General,Government Of Canada,Guns and Gangs
2020-21,"$4,115,429",Attorney General,Government Of Canada,Government of Canada - Supporting Families Fund
2020-21,"$4,006,028",Attorney General,"Fees, Licences and Permits",Gaming - Registration fees
2020-21,"$3,970,898",Attorney General,Miscellaneous,Forfeiture - Proceeds of Crime
2020-21,"$3,645,906",Attorney General,"Fees, Licences and Permits",Cannabis
2020-21,"$3,300,242",Attorney General,"Fees, Licences and Permits",Liquor Sales Licences
2020-21,"$3,274,733",Attorney General,Miscellaneous,CRIA - Civil Remedies Act
2020-21,"$3,093,960",Attorney General,"Fees, Licences and Permits",Process/Search/Sheriff fees
2020-21,"$2,849,599",Attorney General,Miscellaneous,Ontario Public Guardian and Trustee - Escheated estates
2020-21,"$1,976,500",Attorney General,Government Of Canada,Other
2020-21,"$1,901,976",Attorney General,Government Of Canada,Native Court Workers
2020-21,"$1,817,240",Attorney General,"Fees, Licences and Permits",Gaming - Lottery Licences
2020-21,"$1,730,464",Attorney General,"Fees, Licences and Permits",Licences Appeal Tribunal Fees
